Library	Manuscript	FileName	Bibliographical record	IIIF document ID	IIIF image ID / image ID	Height (px)	Width (px)
Bibliothèque nationale de France	P231	BnF-btv10087008_T0000026.xml	https://gallica.bnf.fr/ark:/12148/btv1b100870084	btv1b100870084	26	5550	3673
Bibliothèque nationale de France	P231	BnF-btv10087008_T0000070.xml	https://gallica.bnf.fr/ark:/12148/btv1b100870084	btv1b100870084	70	5550	3673
Bibliothèque nationale de France	P231	BnF-btv10087008_T0000126.xml	https://gallica.bnf.fr/ark:/12148/btv1b100870084	btv1b100870084	126	5550	3673
Bibliothèque nationale de France	P231	BnF-btv10087008_T0000167.xml	https://gallica.bnf.fr/ark:/12148/btv1b100870084	btv1b100870084	167	5550	3673
Bibliothèque nationale de France	P231	BnF-btv10087008_T0000256.xml	https://gallica.bnf.fr/ark:/12148/btv1b100870084	btv1b100870084	256	5518	3673
Bibliothèque nationale de France	P236	BnF-btv10087125_T0000008.xml	https://gallica.bnf.fr/ark:/12148/btv1b100871250	btv1b100871250	8	3546	4762
Bibliothèque nationale de France	P236	BnF-btv10087125_T0000041.xml	https://gallica.bnf.fr/ark:/12148/btv1b100871250	btv1b100871250	41	3546	4762
Bibliothèque nationale de France	P236	BnF-btv10087125_T0000055.xml	https://gallica.bnf.fr/ark:/12148/btv1b100871250	btv1b100871250	55	3546	4762
Bibliothèque nationale de France	P236	BnF-btv10087125_T0000079.xml	https://gallica.bnf.fr/ark:/12148/btv1b100871250	btv1b100871250	79	3546	4762
Bibliothèque nationale de France	P217	BnF-btv10087342_T0000011.xml	https://gallica.bnf.fr/ark:/12148/btv1b100873427	btv1b100873427	11	3797	5444
Bibliothèque nationale de France	P217	BnF-btv10087342_T0000081.xml	https://gallica.bnf.fr/ark:/12148/btv1b100873427	btv1b100873427	81	3797	5444
Bibliothèque nationale de France	P217	BnF-btv10087342_T0000102.xml	https://gallica.bnf.fr/ark:/12148/btv1b100873427	btv1b100873427	102	3797	5444
